phid,Name,Party,Sex,Uni,Subject,PrinOcc,Military,mpFrom,mpTo,year
phid/2V4,clyde cameron,ALP,male,NA,NA,trade_unionist,NA,1949-12-10,1980-09-19,1980
phid/4I4,leo mcleay,ALP,male,NA,NA,trade_unionist,NA,1979-06-23,1993-03-13,1980
phid/5J4,gordon scholes,ALP,male,NA,NA,employed_blue-collar_worker,NA,1967-07-22,1993-02-08,1980
phid/90000,john dawkins,ALP,male,UWA,economics,trade_unionist,NA,1977-12-10,1994-02-04,1980
phid/AV4,chris hurford,ALP,male,LSE,economics,employed_professional,NA,1969-10-25,1987-12-31,1980
phid/CH4,clyde holding,ALP,male,Mel,law,employed_professional,NA,1977-12-10,1998-08-31,1980
phid/CV4,ralph jacobi,ALP,male,NA,NA,trade_unionist,NA,1969-10-25,1987-06-05,1980
phid/DRW,harry jenkins sr,ALP,male,Mel,biol_chem_phys,employed_professional,NA,1969-10-25,1985-12-20,1980
phid/EE4,tom uren,ALP,male,NA,NA,self-employed_small_businessman,Military,1958-11-22,1990-02-19,1980
phid/EH4,brian howe,ALP,male,Mel,socialScience,school_teacher,NA,1977-12-10,1996-01-29,1980
phid/EV4,mick young,ALP,male,NA,NA,trade_unionist,NA,1974-05-18,1988-02-08,1980
phid/FH4,ben humphreys,ALP,male,NA,NA,trade_unionist,NA,1977-12-10,1996-01-29,1980
phid/HI4,peter morris,ALP,male,NA,NA,full-time_politician,NA,1972-12-02,1998-08-31,1980
phid/JM9,john armitage,ALP,male,NA,NA,employed_other_white-collar_worker,Military,1969-10-25,1983-02-04,1980
phid/JNG,moss cass,ALP,male,Syd,medicine,employed_professional,NA,1969-10-25,1983-02-04,1980
phid/JSU,gordon bryant,ALP,male,Mel,humanities,school_teacher,Military,1955-12-10,1980-09-19,1980
phid/JXQ,ken fry,ALP,male,ANU,humanities,self-employed_farmer_fisherman,Military,1974-05-18,1984-10-26,1980
phid/K9J,keith johnson,ALP,male,NA,NA,trade_unionist,NA,1969-10-25,1980-09-19,1980
phid/K9M,les johnson,ALP,male,NA,NA,trade_unionist,NA,1969-10-25,1983-12-19,1980
phid/KDP,doug everingham,ALP,male,Syd,medicine,employed_professional,NA,1977-12-10,1984-10-26,1980
phid/KDV,charles jones,ALP,male,NA,NA,trade_unionist,NA,1958-11-22,1983-02-04,1980
phid/KFB,john fitzpatrick,ALP,male,NA,NA,trade_unionist,Military,1977-12-10,1980-09-19,1980
phid/KH4,barry jones,ALP,male,Mel,humanities_law,employed_professional,NA,1977-12-10,1998-08-31,1980
phid/KJA,ted innes,ALP,male,RMIT,humanities,trade_unionist,NA,1972-12-02,1983-02-04,1980
phid/KJO,bert james,ALP,male,NA,NA,employed_blue-collar_worker,NA,1960-04-09,1980-09-19,1980
phid/KN9,vince martin,ALP,male,NA,NA,employed_professional,NA,1969-10-25,1980-09-19,1980
phid/KSF,les mcmahon,ALP,male,NA,NA,trade_unionist,NA,1975-12-13,1983-02-04,1980
phid/KWZ,laurie wallis,ALP,male,NA,NA,trade_unionist,NA,1969-10-25,1983-02-04,1980
phid/NF4,barry cohen,ALP,male,ANU,humanities,employed_top_management,Military,1969-10-25,1990-02-19,1980
phid/NH4,paul keating,ALP,male,NSW,humanities,trade_unionist,NA,1969-10-25,1996-04-23,1980
phid/OD4,john brown,ALP,male,NA,NA,trade_unionist,NA,1977-12-10,1990-02-19,1980
phid/QH4,john kerin,ALP,male,UWE,humanities,self-employed_farmer_fisherman,NA,1978-09-23,1993-12-22,1980
phid/RK4,bill hayden,ALP,male,Qld,economics,full-time_politician,NA,1961-12-09,1988-08-17,1980
phid/SH4,richard klugman,ALP,male,Syd,biol_chem_phys,employed_professional,NA,1969-10-25,1990-02-19,1980
phid/VE4,neal blewett,ALP,male,Tas,socialScience,university_professor,NA,1977-12-10,1994-02-11,1980
phid/XJ4,stewart west,ALP,male,NA,NA,trade_unionist,NA,1977-10-15,1993-02-08,1980
phid/ZE4,lionel bowen,ALP,male,Syd,law,employed_professional,Military,1969-10-25,1990-02-19,1980
phid/ZJ4,ralph willis,ALP,male,Mel,economics,trade_unionist,NA,1972-12-02,1998-08-31,1980
